common_name,official,common,language_code
Wallis and Futuna,Territoire des îles Wallis et Futuna,Wallis et Futuna,fra
United States,United States of America,United States,eng
Martinique,Martinique,Martinique,fra
Philippines,Republic of the Philippines,Philippines,eng
Philippines,Republic of the Philippines,Pilipinas,fil
Serbia,Република Србија,Србија,srp
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",eng
British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,eng
Moldova,Republica Moldova,Moldova,ron
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong,eng
Hong Kong,中华人民共和国香港特别行政区,香港,zho
Pakistan,Islamic Republic of Pakistan,Pakistan,eng
Pakistan,اسلامی جمہوریۂ پاكستان,پاكستان,urd
Saudi Arabia,المملكة العربية السعودية,العربية السعودية,ara
Angola,República de Angola,Angola,por
New Caledonia,Nouvelle-Calédonie,Nouvelle-Calédonie,fra
Lithuania,Lietuvos Respublikos,Lietuva,lit
Netherlands,Koninkrijk der Nederlanden,Nederland,nld
Greenland,Kalaallit Nunaat,Kalaallit Nunaat,kal
Vatican City,Stato della Città del Vaticano,Vaticano,ita
Vatican City,Status Civitatis Vaticanæ,Vaticanæ,lat
Micronesia,Federated States of Micronesia,Micronesia,eng
Heard Island and McDonald Islands,Heard Island and McDonald Islands,Heard Island and McDonald Islands,eng
Kuwait,دولة الكويت,الكويت,ara
Switzerland,Confédération suisse,Suisse,fra
Switzerland,Schweizerische Eidgenossenschaft,Schweiz,gsw
Switzerland,Confederazione Svizzera,Svizzera,ita
Switzerland,Confederaziun svizra,Svizra,roh
Saint Lucia,Saint Lucia,Saint Lucia,eng
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,eng
Malta,Republic of Malta,Malta,eng
Malta,Repubblika ta ' Malta,Malta,mlt
Tonga,Kingdom of Tonga,Tonga,eng
Tonga,Kingdom of Tonga,Tonga,ton
Guatemala,República de Guatemala,Guatemala,spa
Uganda,Republic of Uganda,Uganda,eng
Uganda,Republic of Uganda,Uganda,swa
Guinea,République de Guinée,Guinée,fra
American Samoa,American Samoa,American Samoa,eng
American Samoa,Sāmoa Amelika,Sāmoa Amelika,smo
Sint Maarten,Sint Maarten,Sint Maarten,eng
Sint Maarten,Saint-Martin,Saint-Martin,fra
Sint Maarten,Sint Maarten,Sint Maarten,nld
Nepal,नेपाल संघीय लोकतान्त्रिक गणतन्त्र,नेपाल,nep
Slovenia,Republika Slovenija,Slovenija,slv
British Virgin Islands,Virgin Islands,British Virgin Islands,eng
Ethiopia,የኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ,ኢትዮጵያ,amh
Kiribati,Independent and Sovereign Republic of Kiribati,Kiribati,eng
Kiribati,Ribaberiki Kiribati,Kiribati,gil
Guam,Guåhån,Guåhån,cha
Guam,Guam,Guam,eng
Guam,Guam,Guam,spa
Togo,République togolaise,Togo,fra
Papua New Guinea,Independent State of Papua New Guinea,Papua New Guinea,eng
Papua New Guinea,Independen Stet bilong Papua Niugini,Papua Niu Gini,hmo
Papua New Guinea,Independen Stet bilong Papua Niugini,Papua Niugini,tpi
Iceland,Ísland,Ísland,isl
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,cal
Northern Mariana Islands,Sankattan Siha Na Islas Mariånas,Na Islas Mariånas,cha
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Northern Mariana Islands,eng
Austria,Republik Österreich,Österreich,bar
Morocco,المملكة المغربية,المغرب,ara
Morocco,ⵜⴰⴳⵍⴷⵉⵜ ⵏ ⵍⵎⵖⵔⵉⴱ,ⵍⵎⴰⵖⵔⵉⴱ,ber
South Georgia,South Georgia and the South Sandwich Islands,South Georgia,eng
Iraq,جمهورية العراق,العراق,ara
Iraq,ܩܘܼܛܢܵܐ ܐܝܼܪܲܩ,ܩܘܼܛܢܵܐ,arc
Iraq,کۆماری عێراق,کۆماری,ckb
Liechtenstein,Fürstentum Liechtenstein,Liechtenstein,deu
Dominican Republic,República Dominicana,República Dominicana,spa
Ecuador,República del Ecuador,Ecuador,spa
Sierra Leone,Republic of Sierra Leone,Sierra Leone,eng
Belize,Belize,Belize,bjz
Belize,Belize,Belize,eng
Belize,Belice,Belice,spa
Bhutan,འབྲུག་རྒྱལ་ཁབ་,འབྲུག་ཡུལ་,dzo
Iran,جمهوری اسلامی ایران,ایران,fas
Bolivia,Wuliwya Suyu,Wuliwya,aym
Bolivia,Tetã Volívia,Volívia,grn
Bolivia,Buliwya Mamallaqta,Buliwya,que
Bolivia,Estado Plurinacional de Bolivia,Bolivia,spa
Turkey,Türkiye Cumhuriyeti,Türkiye,tur
Faroe Islands,Færøerne,Færøerne,dan
Faroe Islands,Føroyar,Føroyar,fao
Saint Barthélemy,Collectivité de Saint-Barthélemy,Saint-Barthélemy,fra
Greece,Ελληνική Δημοκρατία,Ελλάδα,ell
India,Republic of India,India,eng
India,भारत गणराज्य,भारत,hin
India,இந்தியக் குடியரசு,இந்தியா,tam
Nicaragua,República de Nicaragua,Nicaragua,spa
Central African Republic,République centrafricaine,République centrafricaine,fra
Central African Republic,Ködörösêse tî Bêafrîka,Bêafrîka,sag
DR Congo,République démocratique du Congo,RD Congo,fra
DR Congo,Repubilika ya Kongo Demokratiki,Repubilika ya Kongo Demokratiki,kon
DR Congo,Republiki ya Kongó Demokratiki,Republiki ya Kongó Demokratiki,lin
DR Congo,Ditunga dia Kongu wa Mungalaata,Ditunga dia Kongu wa Mungalaata,lua
DR Congo,Jamhuri ya Kidemokrasia ya Kongo,Jamhuri ya Kidemokrasia ya Kongo,swa
Mali,République du Mali,Mali,fra
Azerbaijan,Azərbaycan Respublikası,Azərbaycan,aze
Singapore,新加坡共和国,新加坡,zho
Singapore,Republic of Singapore,Singapore,eng
Singapore,Republik Singapura,Singapura,msa
Singapore,சிங்கப்பூர் குடியரசு,சிங்கப்பூர்,tam
Cuba,República de Cuba,Cuba,spa
Bangladesh,বাংলাদেশ গণপ্রজাতন্ত্রী,বাংলাদেশ,ben
Marshall Islands,Republic of the Marshall Islands,Marshall Islands,eng
Marshall Islands,Republic of the Marshall Islands,M̧ajeļ,mah
Bouvet Island,Bouvetøya,Bouvetøya,nor
Latvia,Latvijas Republikas,Latvija,lav
Hungary,Magyarország,Magyarország,hun
Åland Islands,Landskapet Åland,Åland,swe
Bulgaria,Република България,България,bul
Seychelles,Repiblik Sesel,Sesel,crs
Seychelles,Republic of Seychelles,Seychelles,eng
Seychelles,République des Seychelles,Seychelles,fra
Cameroon,Republic of Cameroon,Cameroon,eng
Cameroon,République du Cameroun,Cameroun,fra
Macau,Região Administrativa Especial de Macau da República Popular da China,Macau,por
Macau,中华人民共和国澳门特别行政区,澳门,zho
Mexico,Estados Unidos Mexicanos,México,spa
Brunei,"Nation of Brunei, Abode Damai",Negara Brunei Darussalam,msa
Taiwan,中華民國,台灣,zho
Aruba,Aruba,Aruba,nld
Aruba,Aruba,Aruba,pap
Trinidad and Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago,eng
Vanuatu,Ripablik blong Vanuatu,Vanuatu,bis
Vanuatu,Republic of Vanuatu,Vanuatu,eng
Vanuatu,République de Vanuatu,Vanuatu,fra
Algeria,الجمهورية الديمقراطية الشعبية الجزائرية,الجزائر,ara
Cook Islands,Cook Islands,Cook Islands,eng
Cook Islands,Kūki 'Āirani,Kūki 'Āirani,rar
Burundi,République du Burundi,Burundi,fra
Burundi,Republika y'Uburundi ,Uburundi,run
Belarus,Рэспубліка Беларусь,Белару́сь,bel
Belarus,Республика Беларусь,Беларусь,rus
North Korea,조선민주주의인민공화국,조선,kor
Saint Martin,Saint-Martin,Saint-Martin,fra
Samoa,Independent State of Samoa,Samoa,eng
Samoa,Malo Saʻoloto Tutoʻatasi o Sāmoa,Sāmoa,smo
Zimbabwe,Republic of Zimbabwe,Zimbabwe,bwg
Zimbabwe,Republic of Zimbabwe,Zimbabwe,eng
Zimbabwe,Republic of Zimbabwe,Zimbabwe,kck
Zimbabwe,Republic of Zimbabwe,Zimbabwe,khi
Zimbabwe,Republic of Zimbabwe,Zimbabwe,ndc
Zimbabwe,Republic of Zimbabwe,Zimbabwe,nde
Zimbabwe,Republic of Zimbabwe,Zimbabwe,nya
Zimbabwe,Republic of Zimbabwe,Zimbabwe,sna
Zimbabwe,Republic of Zimbabwe,Zimbabwe,sot
Zimbabwe,Republic of Zimbabwe,Zimbabwe,toi
Zimbabwe,Republic of Zimbabwe,Zimbabwe,tsn
Zimbabwe,Republic of Zimbabwe,Zimbabwe,tso
Zimbabwe,Republic of Zimbabwe,Zimbabwe,ven
Zimbabwe,Republic of Zimbabwe,Zimbabwe,xho
Zimbabwe,Republic of Zimbabwe,Zimbabwe,zib
Bermuda,Bermuda,Bermuda,eng
Djibouti,جمهورية جيبوتي,جيبوتي‎,ara
Djibouti,République de Djibouti,Djibouti,fra
United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,eng
Niue,Niue,Niue,eng
Niue,Niuē,Niuē,niu
Guinea-Bissau,República da Guiné-Bissau,Guiné-Bissau,por
Guinea-Bissau,República da Guiné-Bissau,Guiné-Bissau,pov
Japan,日本,日本,jpn
Tuvalu,Tuvalu,Tuvalu,eng
Tuvalu,Tuvalu,Tuvalu,tvl
Réunion,Ile de la Réunion,La Réunion,fra
Sudan,جمهورية السودان,السودان,ara
Sudan,Republic of the Sudan,Sudan,eng
North Macedonia,Република Северна Македонија,Македонија,mkd
Canada,Canada,Canada,eng
Canada,Canada,Canada,fra
Indonesia,Republik Indonesia,Indonesia,ind
Gambia,Republic of the Gambia,Gambia,eng
Somalia,جمهورية الصومال‎‎,الصومال‎‎,ara
Somalia,Jamhuuriyadda Federaalka Soomaaliya,Soomaaliya,som
Mauritius,Republic of Mauritius,Mauritius,eng
Mauritius,République de Maurice,Maurice,fra
Mauritius,Republik Moris,Moris,mfe
Montserrat,Montserrat,Montserrat,eng
Russia,Российская Федерация,Россия,rus
Portugal,República português,Portugal,por
Oman,سلطنة عمان,عمان,ara
Christmas Island,Territory of Christmas Island,Christmas Island,eng
Croatia,Republika Hrvatska,Hrvatska,hrv
Mongolia,Монгол улс,Монгол улс,mon
Tajikistan,Республика Таджикистан,Таджикистан,rus
Tajikistan,Ҷумҳурии Тоҷикистон,Тоҷикистон,tgk
Solomon Islands,Solomon Islands,Solomon Islands,eng
Haiti,République d'Haïti,Haïti,fra
Haiti,Repiblik Ayiti,Ayiti,hat
Honduras,República de Honduras,Honduras,spa
Namibia,Republiek van Namibië,Namibië,afr
Namibia,Republik Namibia,Namibia,deu
Namibia,Republic of Namibia,Namibia,eng
Namibia,Republic of Namibia,Namibia,her
Namibia,Republic of Namibia,Namibia,hgm
Namibia,Republic of Namibia,Namibia,kwn
Namibia,Republic of Namibia,Namibia,loz
Namibia,Republic of Namibia,Namibia,ndo
Namibia,Lefatshe la Namibia,Namibia,tsn
Argentina,Argentine Republic,Argentina,grn
Argentina,República Argentina,Argentina,spa
Niger,République du Niger,Niger,fra
Timor-Leste,República Democrática de Timor-Leste,Timor-Leste,por
Timor-Leste,Repúblika Demokrátika Timór-Leste,Timór-Leste,tet
Western Sahara,Sahrawi Arab Democratic Republic,Western Sahara,ber
Western Sahara,الجمهورية العربية الصحراوية الديمقراطية,الصحراء الغربية,mey
Western Sahara,República Árabe Saharaui Democrática,Sahara Occidental,spa
Uruguay,República Oriental del Uruguay,Uruguay,spa
Barbados,Barbados,Barbados,eng
Guernsey,Bailiwick of Guernsey,Guernsey,eng
Guernsey,Bailliage de Guernesey,Guernesey,fra
Guernsey,Dgèrnésiais,Dgèrnésiais,nfr
Estonia,Eesti Vabariik,Eesti,est
Kenya,Republic of Kenya,Kenya,eng
Kenya,Republic of Kenya,Kenya,swa
Jamaica,Jamaica,Jamaica,eng
Jamaica,Jamaica,Jamaica,jam
Luxembourg,Großherzogtum Luxemburg,Luxemburg,deu
Luxembourg,Grand-Duché de Luxembourg,Luxembourg,fra
Luxembourg,Groussherzogtum Lëtzebuerg,Lëtzebuerg,ltz
Guadeloupe,Guadeloupe,Guadeloupe,fra
Tunisia,الجمهورية التونسية,تونس,ara
Cayman Islands,Cayman Islands,Cayman Islands,eng
Mozambique,República de Moçambique,Moçambique,por
Tokelau,Tokelau,Tokelau,eng
Tokelau,Tokelau,Tokelau,smo
Tokelau,Tokelau,Tokelau,tkl
Germany,Bundesrepublik Deutschland,Deutschland,deu
Liberia,Republic of Liberia,Liberia,eng
Pitcairn Islands,Pitcairn Group of Islands,Pitcairn Islands,eng
Saint Pierre and Miquelon,Collectivité territoriale de Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,fra
South Sudan,Republic of South Sudan,South Sudan,eng
Slovakia,Slovenská republika,Slovensko,slk
Palau,Republic of Palau,Palau,eng
Palau,Beluu er a Belau,Belau,pau
Cyprus,Δημοκρατία της Κύπρος,Κύπρος,ell
Cyprus,Kıbrıs Cumhuriyeti,Kıbrıs,tur
Libya,الدولة ليبيا,‏ليبيا,ara
Mayotte,Département de Mayotte,Mayotte,fra
Turkmenistan,Туркменистан,Туркмения,rus
Turkmenistan,Türkmenistan,Türkmenistan,tuk
Equatorial Guinea,République de la Guinée Équatoriale,Guinée équatoriale,fra
Equatorial Guinea,República da Guiné Equatorial,Guiné Equatorial,por
Equatorial Guinea,República de Guinea Ecuatorial,Guinea Ecuatorial,spa
Nigeria,Federal Republic of Nigeria,Nigeria,eng
Norway,Kongeriket Noreg,Noreg,nno
Norway,Kongeriket Norge,Norge,nob
Norway,Norgga gonagasriika,Norgga,smi
Bosnia and Herzegovina,Bosna i Hercegovina,Bosna i Hercegovina,bos
Bosnia and Herzegovina,Bosna i Hercegovina,Bosna i Hercegovina,hrv
Bosnia and Herzegovina,Босна и Херцеговина,Босна и Херцеговина,srp
South Africa,Republiek van Suid-Afrika,South Africa,afr
South Africa,Republic of South Africa,South Africa,eng
South Africa,IRiphabliki yeSewula Afrika,Sewula Afrika,nbl
South Africa,Rephaboliki ya Afrika-Borwa ,Afrika-Borwa,nso
South Africa,Rephaboliki ya Afrika Borwa,Afrika Borwa,sot
South Africa,IRiphabhulikhi yeNingizimu Afrika,Ningizimu Afrika,ssw
South Africa,Rephaboliki ya Aforika Borwa,Aforika Borwa,tsn
South Africa,Riphabliki ra Afrika Dzonga,Afrika Dzonga,tso
South Africa,Riphabuḽiki ya Afurika Tshipembe,Afurika Tshipembe,ven
South Africa,IRiphabliki yaseMzantsi Afrika,Mzantsi Afrika,xho
South Africa,IRiphabliki yaseNingizimu Afrika,Ningizimu Afrika,zul
Denmark,Kongeriget Danmark,Danmark,dan
Laos,ສາທາລະນະ ຊາທິປະໄຕ ຄົນລາວ ຂອງ,ສປປລາວ,lao
Madagascar,République de Madagascar,Madagascar,fra
Madagascar,Repoblikan'i Madagasikara,Madagasikara,mlg
El Salvador,República de El Salvador,El Salvador,spa
Andorra,Principat d'Andorra,Andorra,cat
Sri Lanka,ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය,ශ්‍රී ලංකාව,sin
Sri Lanka,இலங்கை சனநாயக சோசலிசக் குடியரசு,இலங்கை,tam
Rwanda,Republic of Rwanda,Rwanda,eng
Rwanda,République rwandaise,Rwanda,fra
Rwanda,Repubulika y'u Rwanda,Rwanda,kin
Armenia,Հայաստանի Հանրապետություն,Հայաստան,hye
Chad,جمهورية تشاد,تشاد‎,ara
Chad,République du Tchad,Tchad,fra
Benin,République du Bénin,Bénin,fra
Syria,الجمهورية العربية السورية,سوريا,ara
Spain,Reino de España,España,spa
Thailand,ราชอาณาจักรไทย,ประเทศไทย,tha
Svalbard and Jan Mayen,Svalbard og Jan Mayen,Svalbard og Jan Mayen,nor
Ukraine,Україна,Україна,ukr
China,中华人民共和国,中国,zho
Malawi,Republic of Malawi,Malawi,eng
Malawi,"Chalo cha Malawi, Dziko la Malaŵi",Malaŵi,nya
Panama,República de Panamá,Panamá,spa
Bahrain,مملكة البحرين,‏البحرين,ara
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,eng
Jersey,Bailiwick of Jersey,Jersey,eng
Jersey,Bailliage de Jersey,Jersey,fra
Jersey,Bailliage dé Jèrri,Jèrri,nrf
Burkina Faso,République du Burkina,Burkina Faso,fra
Poland,Rzeczpospolita Polska,Polska,pol
Belgium,Königreich Belgien,Belgien,deu
Belgium,Royaume de Belgique,Belgique,fra
Belgium,Koninkrijk België,België,nld
Bahamas,Commonwealth of the Bahamas,Bahamas,eng
Costa Rica,República de Costa Rica,Costa Rica,spa
San Marino,Repubblica di San Marino,San Marino,ita
New Zealand,New Zealand,New Zealand,eng
New Zealand,Aotearoa,Aotearoa,mri
New Zealand,New Zealand,New Zealand,nzs
French Guiana,Guyane,Guyane française,fra
Norfolk Island,Territory of Norfolk Island,Norfolk Island,eng
Norfolk Island,Teratri of Norf'k Ailen,Norf'k Ailen,pih
Lebanon,الجمهورية اللبنانية,لبنان,ara
Lebanon,République libanaise,Liban,fra
Zambia,Republic of Zambia,Zambia,eng
Eswatini,Kingdom of Eswatini,Eswatini,eng
Eswatini,Umbuso weSwatini,eSwatini,ssw
Palestine,دولة فلسطين,فلسطين,ara
